Sample	R1	R2
2001-06762	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2001-06762_M_R_N_F_S11_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2001-06762_M_R_N_F_S11_R2_001.fastq.gz
2002-00192	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2002-00192_M_R_N_F_S36_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2002-00192_M_R_N_F_S36_R2_001.fastq.gz
2002-00882	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2002-00882_M_R_N_F_S65_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2002-00882_M_R_N_F_S65_R2_001.fastq.gz
2002-02741	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2002-02741_M_R_N_F_S30_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2002-02741_M_R_N_F_S30_R2_001.fastq.gz
2004-03281	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2004-03281_M_R_N_F_S38_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2004-03281_M_R_N_F_S38_R2_001.fastq.gz
2005-00702	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2005-00702_M_R_N_F_S62_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2005-00702_M_R_N_F_S62_R2_001.fastq.gz
2006-02371	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2006-02371_M_R_N_F_S61_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2006-02371_M_R_N_F_S61_R2_001.fastq.gz
2006-02402	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2006-02402_M_R_N_F_S59_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2006-02402_M_R_N_F_S59_R2_001.fastq.gz
2006-02431	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2006-02431_M_R_N_F_S63_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2006-02431_M_R_N_F_S63_R2_001.fastq.gz
2007-00972	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2007-00972_M_R_N_F_S35_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2007-00972_M_R_N_F_S35_R2_001.fastq.gz
2007-01071	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2007-01071_M_R_N_F_S41_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2007-01071_M_R_N_F_S41_R2_001.fastq.gz
2007-01432	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2007-01432_M_R_N_F_S52_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_2007-01432_M_R_N_F_S52_R2_001.fastq.gz
